,src_text,target_text
29,"Story: Joe grew a big batch of peas in his garden.He brought the peas inside and shelled them all.Then he cooked them up in a big pot.He added ham, bacon, and carrots to make thick pea soup.
Choose a right ending of the Story: 1) Joe thought about working in the garden as he ate the yummy soup. 2) Joe dumped the pot outside because he hated soup.",1
30,"Story: Aliza had a long lost ex-boyfriend she was bound to find.The problem was, he moved to a new state.She decided to use Facebook to find him.She found him, but he was married with kids.
Choose a right ending of the Story: 1) Aliza was sad, but she never contacted him again. 2) He fell in love with Aliza and they were married.",1
31,"Story: Lina went to see how candy canes were made.She watched as the workers added dye to the hot candy.Then, they stretched it out to make it shiny.Finally, they shaped it into a cane and let it cool.
Choose a right ending of the Story: 1) Lina now knew that candy canes were boring. 2) Lina felt a new appreciation for candy canes.",2
32,"Story: When I first moved into my house, I didn't know my neighbors.While mowing one day, I found a kickball in my yard.I felt this was the perfect opportunity to meet my neighbors.I grabbed the ball and went next door to return it.
Choose a right ending of the Story: 1) They were very friendly. 2) I threw the kickball through their closed window.",1
33,"Story: Bev had been studying very hard.She couldn't wait for the weekend.When it came, she slept in very late.Then she got up and went out to party.
Choose a right ending of the Story: 1) By Sunday night, Bev was exhausted again. 2) Bev got the mail and fed the fish, just like she did every day.",1
34,"Story: We went to Frank Pepe's pizza shop three weeks ago.The chain is quite famous in Connecticut.The chain recently opened in Boston.We went early to beat the crowd.
Choose a right ending of the Story: 1) We walked 5 growling dogs at the park across town. 2) We had a great pizza at Frank Pepe's pizza shop.",2
35,"Story: Bernice always wanted to travel to Africa.Bernice decided she would take a trip for her birthday next year.Bernice started to look at the price of airline tickets for the trip.In addition, Bernice looked up the price of hotels as well.
Choose a right ending of the Story: 1) Bernice went to Europe for her birthday. 2) Bernice decided to get an airplane ticket and reserve a room.",2
36,"Story: Jim made spinach cookies.He sold them for five dollars each.No one bought any.However, at the last minute a man wanted twenty.
Choose a right ending of the Story: 1) He was surprised but thankful. 2) Jim thought he was crazy and left.",1
37,"Story: Randy's friend gave him directions to his house.He was supposed to take a right after the white house.Randy continued to get lost.He backtracked continuously until he finally found it.
Choose a right ending of the Story: 1) Randy told his friend how relieved he was he found it. 2) Randy saw the house but kept on driving and didn't come back.",1
38,"Story: I decided to go on a bike ride with my brother.We both headed out in the morning.We were having a lot of fun.Suddenly, he hit a rock and broke his wheel!
Choose a right ending of the Story: 1) Watching my brother crash was fun. 2) I felt very badly for my brother.",2
39,"Story: Anna went to the salon.She was getting her nails done for the first time.She was nervous, but the tech was friendly.He did her nails quickly and expertly.
Choose a right ending of the Story: 1) Anna felt very fashionable when she left the salon. 2) Anna really liked her new hairstyle.",1
40,"Story: David and Sarah were friends during childhood.When they went to college, each moved to a different town.Sarah received an unexpected call from David on Friday.They had dinner and talked about their lives.
Choose a right ending of the Story: 1) Sarah was glad they were able to catch up. 2) Sarah and david went to go get dinner right after that.",1
41,"Story: AJ and his mom were at the grocery store.Aj was looking at a cereal box and when he looked up his mom was gone.He immediately started to feel panic.Then his mom stepped out from behind a display of soup.
Choose a right ending of the Story: 1) AJ then began to feel sad. 2) AJ let out a sigh of relief.",2
42,"Story: Joe went to the junkyard to find treasures.He dug through a stack of old clothes.At the bottom was a vintage shirt with a rock band on it.Joe put the shirt on to try it out.
Choose a right ending of the Story: 1) Joe was happy the shirt fit. 2) Joe hated rock music afterwards.",1
43,"Story: Priya decided to try a new restaurant.She drove to a new cafe that opened.Priya sat at a booth.She ordered a mimosa and a breakfast burrito.
Choose a right ending of the Story: 1) Priya thought her food was delicious. 2) Priya decided not to eat and left.",1
44,"Story: Karen was assigned a roommate her first year of college.One day, her roommate asked her to go to a nearby city for a concert.Karen agreed happily.The show was absolutely exhilarating.
Choose a right ending of the Story: 1) Karen hated her roommate. 2) Karen became good friends with her roommate.",2
45,"Story: We took a family vacation to the beach last year.I spent a lot of time reading with my mom on the beach.One day while reading, I got stung by a horrible beach wasp.My arm swelled and was painful, I almost had to go to the hospital.
Choose a right ending of the Story: 1) Eventually I healed. 2) I found I loved being swollen.",1
46,"Story: Donald was kind of the class clown.He wanted to be class president.So he figured if he acted like an idiot people would vote for him.He would get up and just yell and be foolish.
Choose a right ending of the Story: 1) Don hated elections. 2) Donald hoped this foolishness won him the election.",2
47,"Story: Eddie and Angela hadn't been talking to each other for a long time.They lived in their house together like strangers.Finally, they sat down and agreed, it was time for a divorce.Eddie went to the courthouse and filed the paperwork.
Choose a right ending of the Story: 1) They were divorced a few months later. 2) They fell back in love and stayed together forever.",1
48,"Story: Rachel adopted a cat over ten Years ago.Suddenly, the cat was acting more lethargic and losing weight.Concerned, Rachel took her cat to the vet.The vet told Rachel that her cat had developed cancer.
Choose a right ending of the Story: 1) Rachel was excited to hear the news. 2) The vet treated her cat's cancer the best they could.",2
49,"Story: Jim is a new driver and has never been pulled over before.Yesterday he was pulled over for speeding.The officer explained to him why he was being given a ticket.Jim will have to work overtime to pay for the ticket.
Choose a right ending of the Story: 1) Jim is very upset. 2) Jim was happy to see the officer.",1
50,"Story: I love avocados.I ate a sandwich covered in them.After I ate it, my mouth was itchy and tingly.I talked to my doctor about it later.
Choose a right ending of the Story: 1) He said I was paranoid, and charged me $100. 2) It turned out I was allergic to avocados.",2
51,"Story: David was an author that had trouble finding inspiration for his work.One day he had a dream of him being in a post apocalyptic world.He thought that this was destiny and began to write his thoughts.Eventually he had hundreds of pages written.
Choose a right ending of the Story: 1) David then uploaded his new video. 2) David then had his manuscript published.",2
52,"Story: Boris was addicted to video games.His mother was concerned.She called a psychologist to get help.The psychologist tried to convince Boris to stop his addiction.
Choose a right ending of the Story: 1) Boris realized he was wasting his life. 2) Boris decided to wear the dress.",1
53,"Story: A police officer came down with the flu today.He was unable to go into work as he could barely get out of bed.His wife spent time taking care of him and making sure he was okay.He made sure to drink enough and eat enough.
Choose a right ending of the Story: 1) The police officer had to give up his badge and gun. 2) The police officer eventually got better.",2
54,"Story: My friend nathan and his family went to the lake one summer.One day Nathan's dad left and didn't leave a lighter for his mom.Well his mom was very upset and made him walk to the store barefoot.Poor Nathan had to walk down a gravel road to bring his mom matches.
Choose a right ending of the Story: 1) When Nathan returned, he felt very happy for the exercise. 2) When Nathan returned, his mom apologized for being so mean.",2
55,"Story: Gary was a brave child.One day he decided to climb over the fence in his backyard.His parents looked all over for him.They found him sitting on the swing at the park.
Choose a right ending of the Story: 1) Gary's parents were relieved to find him. 2) Gary's parents were disappointed to find him.",1
56,"Story: Timmy was caught with unpaid parking tickets.He didn't have enough money to pay for them.Instead he had to be arrested and jailed for two days.He lost his jobs for missing work.
Choose a right ending of the Story: 1) Timmy was promoted for working so much all the time. 2) Timmy then had to find another job,",2
57,"Story: When I was younger, I went to summer camp.We had a lot of fun playing games with the counselors.My favorite thing to do was play cards.The camp counselors knew so many different card games.
Choose a right ending of the Story: 1) My time with the minister was very useful. 2) My favorite card game was poker.",2
58,"Story: Amber had a lot of things to do this Sunday.She made a list of all the places she needed to go.She hurried to get ready.She was worried that she would not have enough time.
Choose a right ending of the Story: 1) Amber enjoyed a relaxing two hour brunch. 2) Amber was so hurried she left the list at home.",2
59,"Story: Eve needed a new couch in her parlor.But she could not afford to buy one!Then she went to a secondhand store and found a great one.She had it delivered and set up in her living room.
Choose a right ending of the Story: 1) She bought a new couch to replace it. 2) Eve thought the couch was very comfortable.",2
60,"Story: Jason was terrified of spiders.He went to a therapist and discussed his fear.His therapist said he should confront his fear to overcome it.Jason's homework was to look for a spider in his basement.
Choose a right ending of the Story: 1) He found a very large spider there. 2) Jason took a hot shower.",1
61,"Story: Linda began to have problems with a coworker at her job.The coworker had started bossing her around at work.The coworker even talked behind her back.Linda went to her boss with the issue and the boss mediated them.
Choose a right ending of the Story: 1) Her boss fired her the next day. 2) Linda and the coworker ended up being best friends.",2
62,"Story: Sara wanted her kids to have a great Christmas.She saved all year and started her shopping in November.She shopped deals and spent all her savings.She spent two days wrapping dozens of presents.
Choose a right ending of the Story: 1) All of the presents were wrapped and stored for the holidays. 2) She returned all of the presents for cheaper ones.",1
63,"Story: Megan has been struggling with a drug habit for years.She hit rock bottom when she lost her family and kids.Her distant family decided to stage an intervention.After the event, she got into a rehab facility.
Choose a right ending of the Story: 1) She was able to get off drugs after some time. 2) When she arrived, she did drugs all day.",1
64,"Story: Tyler has been unemployed for Years.He has spent the last few months diligently applying for work.However, all of his applications are rejected.The rejections contribute to Tyler's feelings of desperation.
Choose a right ending of the Story: 1) He is thrilled about his new responsibilities at work. 2) He realizes he might have to apply for public assistance.",2
65,"Story: Bobby was having a birthday party.His friends bought him a huge cake.A woman jumped out of the cake.Bobby was surprised and amused.
Choose a right ending of the Story: 1) Bobby had a good party. 2) Bobby was mad at his friends.",1
66,"Story: It was the last day of our vacation.We were eating lunch on the patio of the hotel.We laughed and smiled because it was a great vacation.Then we packed our bags and drove to the airport.
Choose a right ending of the Story: 1) We want to revisit someday. 2) We all vowed to never go back again.",1
67,"Story: Mother asked the children to help fold laundry.The children took the clean clothes into the living room.They dumped the clothes on the floor.They folded the clothes neatly into piles.
Choose a right ending of the Story: 1) The clothes were filthy and unfolded. 2) They then put their clothes up neatly.",2
68,"Story: Timmy loves watching cartoons.His parents don't let him watch unless he does his chores.Today's chore is to clean his room.Timmy's room is a mess.
Choose a right ending of the Story: 1) Timmy went to the mess hall for breakfast. 2) Timmy spent all day cleaning so he could watch tv.",2
69,"Story: My daughter had her baby shower in our Boston home.She invited friends and family in the area.Her old college roommate lives in Hawaii.She decided to surprise my daughter by flying 4800 miles.
Choose a right ending of the Story: 1) My daughter was disappointed. 2) My daughter was excited.",2
70,"Story: Pam's house was where the party was.Everyone bought gifts.Pam bought a cake.Everyone danced and had fun!
Choose a right ending of the Story: 1) Pam was a lousy hostess. 2) Pam was a good hostess.",2
71,"Story: Ellen always hated school.The kids made fun of her every day.They called her smelly Elly.She decided to start taking baths.
Choose a right ending of the Story: 1) Ellen liked the negative attention. 2) Ellen was appalled.",2
72,"Story: Jim got his first credit card in college.He didn't have a job so he bought everything on his card.After he graduated he amounted a $10,000 debt.Jim realized that he was foolish to spend so much money.
Choose a right ending of the Story: 1) Jim decided to devise a plan for repayment. 2) Jim decided to open another credit card.",1
73,"Story: Tim was entering a baking contest.He decided to make his famous donuts.He made a big batch and entered them into the contest.The judges thought they were delicious.
Choose a right ending of the Story: 1) The judges vomited from the taste of the donuts. 2) Tim won the baking contest.",2
74,"Story: My two year old son refused to wear training pants.He always begged to wear a diaper.One day, out of frustration, I let him remain naked.He went to the potty and used it when I wasn't looking.
Choose a right ending of the Story: 1) Now I don't try to make him wear training pants. 2) Child protection services removed him from the home.",1
75,"Story: Holly was glad to be safely inside her house as the storm raged.She was watching the storm as she heard a loud crack.Lightning had hit a tree beside the house.She stared as she watched it fall.
Choose a right ending of the Story: 1) She went outside to fly a kite. 2) She was relieved that it didn't hit anything.",2
76,"Story: Jill saw an infomercial for unbreakable glass cups.She was amazed and ordered them.When Jill received the cups, she wanted to test them.She dropped one on her hardwood floor.
Choose a right ending of the Story: 1) It broke and Jill felt dumb for believing the hype. 2) The cloth ripped in two, much to Jill's surprise.",1
77,"Story: Addie was working at the mall at Hollister when a strange man came in.Before she knew it, Addie looked behind her and saw stolen clothes.Addie got scared and tried to chase the man out.Luckily guards came and arrested him.
Choose a right ending of the Story: 1) Addie was put in jail for her crime. 2) Addie was relieved and took deep breaths to calm herself.",2
78,"Story: Sean was going for a job interview.He arrived at the business and asked for the manager.The manager took him to the back and interviewed him.Then, the manager showed him around and explained the job.
Choose a right ending of the Story: 1) The manager hoped Sean would perform badly. 2) The manager wanted Sean to understand everything.",2
79,"Story: Fred made a bet with Sam over who could lose more weight in a month.Fred really wanted to win the bet, which was for $100.Fred worked out daily, avoided fast food, and skipped dinner.At the end of the month Fred was feeling confident he would win.
Choose a right ending of the Story: 1) Fred cancelled the bet at the end of the month. 2) Fred ended up winning the bet, and the $100.",2
80,"Story: John went skydiving for the first time.He went with an instructor on a plane into the air.He screamed when they jumped.John was terribly afraid of heights and passed out.
Choose a right ending of the Story: 1) John loved every second of the skydiving trip. 2) When he woke up, he had already landed.",2
81,"Story: Gina and her family were leaving the park.They had been there all afternoon.Now they were going to her aunt's house.Gina begged to be dropped off at her grandma's
Choose a right ending of the Story: 1) Gina hated her grandma. 2) Gina loved her grandma.",2
82,"Story: Kaya needed to buy a new dress for the upcoming Spring Formal.She went to the mall with several of her friends.The girls all had a good time visiting shops and trying on dresses.Kaya found a dress that she loved that was a nice coral color.
Choose a right ending of the Story: 1) She couldn't resist so she bought the antique vase. 2) It was kind of expensive but she decided it was worth it.",2
83,"Story: Tyler wanted to have a balloon party with tons of balloons.He and his friends and his parents blew up the balloons.He and his friends played with the balloons and had a lot of fun.They got tired and watched a movie and had dinner.
Choose a right ending of the Story: 1) It had been a very fun day. 2) Tyler felt like his parents never let him do anything.",1
84,"Story: Jimmy went skateboarding this afternoon.It was the third time this week.He's getting good at it and really likes it.He fell once but hasn't given up.
Choose a right ending of the Story: 1) After all his practice this week, Jimmy has learned a new trick. 2) Jimmy has decided to give away his skateboard.",1
85,"Story: Maxine usually hates to shave her legs.She doesn't like the feeling of using a razor.One night Maxine has a big date and decides to wear a dress.She shaves her legs for the occasion.
Choose a right ending of the Story: 1) Maxine doesn't want to go on the date. 2) Maxine gets laser removal next time.",2
86,"Story: Ryan loved to customize his bike.He decided to add some LED lights to the bike frame and wheels.He ordered the parts from eBay.When they arrived, he assembled them.
Choose a right ending of the Story: 1) Ryan loved how his bike looked. 2) Ryan decided not to ride his bike anymore.",1
87,"Story: One day I wanted to cook a nice dinner for my family.I decided to cook spaghetti.I boiled the noodles and put the sauce in a pot on the stove.I turned the stove on too high.
Choose a right ending of the Story: 1) The sauce burned and stuck to the bottom of the pan. 2) It took forever for the sauce to heat up.",1
88,"Story: Nick was challenged to a volleyball match.His girlfriend bet him five dollars she could beat him.Nick did not intend to let her win!He played hard and mercilessly.
Choose a right ending of the Story: 1) Nick beat his girlfriend and she gave him the five dollars. 2) Nick gave up because he didn't care if his girlfriend won.",1
89,"Story: Some friends and I made a Counter-Strike team.We practiced a lot for an upcoming tournament.We got to the tournament and went over strategies.We played a tough 6 games.
Choose a right ending of the Story: 1) We felt pleased with our performance. 2) We felt we had performed badly.",1
90,"Story: Michelle found a fat tuxedo cat outside her house.She put up posters all over her neighborhood.After three weeks, no one had called Michelle about the cat.Michelle decided to keep the cat for herself.
Choose a right ending of the Story: 1) Michelle gave the cat to her neighbor. 2) Michelle named the cat, ""Socks.""",2
91,"Story: Neil was visiting Ireland.His train had just arrived in Derry.As he disembarked, he caught his breath.It was as gorgeous as a fairy tale!
Choose a right ending of the Story: 1) Neil decided never to return to Ireland. 2) Neil enjoyed Ireland.",2
92,"Story: Mary went to the park.She wanted to show off her new dress.A bird flew over Mary and pooped.Her dress became covered in bird poop.
Choose a right ending of the Story: 1) Mary was happy to be showing off her dress. 2) Mary was upset that her dress was ruined.",2
93,"Story: Scott knew someone was stealing packages from his porch.He set up a surveillance camera near his door.He felt that he would at least have a video of the thief.One day, Scott saw footage of the perpetrator.
Choose a right ending of the Story: 1) Scott gave him a high five. 2) Scott apprehended the perpetrator.",2
94,"Story: Colin was invited to the bar by his friends.He loves beer but thinks it's too expensive at the bars.He decided to go anyway.He gave himself a budget.
Choose a right ending of the Story: 1) Colin stuck to his budget and only drank 2 beers. 2) Colin drinks beer at the bar all night.",1
95,"Story: Jordan was planning on moving to Mexico.Jordan decided that he should learn Spanish.He ended up purchasing a language learning program from Amazon.Everyday he worked on the program for at least 2 hours.
Choose a right ending of the Story: 1) Jordan knew some conversational Spanish by the time he moved. 2) Jordan didn't like fish tacos at all.",1
96,"Story: Fred is brand new to exercising and just joined a gym.He was amazing at how expensive a personal trainer was.He wanted to get into shape but couldn't afford the rates.He found personal trainer routines online for free.
Choose a right ending of the Story: 1) He never worked out again. 2) He was happy with his decision.",2
97,"Story: It was the second match of the volleyball season.Amy was hopeful she would get a chance to play.After the first game they were ahead.Her coach put her in the game.
Choose a right ending of the Story: 1) She finally got her chance to play in the match. 2) She asked the coach to find someone else.",1
98,"Story: Ellen had had four miscarriages in a row.Her husband Tim despaired of ever becoming a dad.Then the doctor called him at work.He told him that there was great news about Ellen.
Choose a right ending of the Story: 1) The doctor told Tim that Emily went for a run. 2) The doctor told Tim that Ellen was finally pregnant.",2
99,"Story: David asked his mother if he could pour his own drink.His mother agreed, but warned him to be careful.David accidentally knocked over his glass which shattered everywhere.His mother cheerfully forgave David.
Choose a right ending of the Story: 1) David ate a cheeseburger. 2) David promised to be more careful in the future.",2
100,"Story: Neil wanted to play hockey.He borrowed some gear from his friends.Then he geared up and headed to the rink.He practiced for days.
Choose a right ending of the Story: 1) Neil played baseball. 2) Neil played in the competition.",2
101,"Story: My friend  Cam was an Amazon bookseller.He had 4,000 books stored in a garage.He made enough money to live simply.His house caught on fire one day and he lost his collection.
Choose a right ending of the Story: 1) Cam has since decided to insure his belongings. 2) Afterwards, Cam was able to sell more books than he ever had.",1
102,"Story: Rosie's teacher's birthday was coming up in 5 days.Rosie did not have money to buy a present.She asked her grandmother to teach her how to draw sunflowers.Rosie drew a big sunflower and painted it with watercolor.
Choose a right ending of the Story: 1) Rosie's teacher loved the gift. 2) Rosie's teacher gave her detention.",1
103,"Story: A man ordered an antique clock on eBay.He received a box containing six blown fuses and a jar of pickles.He filed a complaint with eBay.EBay refused to process a refund.
Choose a right ending of the Story: 1) The man is furious. 2) Ebay is a very reputable company.",1
104,"Story: Tom and Dick loved their trucks.They would go out in the desert every week.They would kick up dirt and play around.Then Tom's truck broke down.
Choose a right ending of the Story: 1) It cost a lot of money, but he got it repaired. 2) Tom knew it would be expensive to repair his boat.",1
105,"Story: Harry went to the theme park with his family.His dad and brother rode on a big roller coaster with him.He then rode on some smaller rides with his mom.The family ate at a restaurant at the park.
Choose a right ending of the Story: 1) Harry didn't like theme parks. 2) Harry had a great time at the park.",2
106,"Story: I had a presentation in art.My teacher failed me although I did everything right.He allowed me to repeat my presentation and failed me again.I believed that I did the presentation correct and stood up for it.
Choose a right ending of the Story: 1) My teacher suggested I pursue art school. 2) The teacher agreed to discuss it with me.",2
107,"Story: Leah had a hockey game.All of her family came to cheer her on.But when she got there she realized they were short handed.Only a handful of girls showed up to play.
Choose a right ending of the Story: 1) Leah was very happy to hear the news. 2) The game was canceled.",2
108,"Story: Ava started to notice wrinkles by her eyes.She bought an expensive wrinkle cream.She applied it every night.After a month she checked her eyes out carefully.
Choose a right ending of the Story: 1) She decided to buy more toothpaste. 2) She was happy to see her wrinkles were gone.",2
109,"Story: Harry shopped a lot online and was looking to buy a new camera.He researched different cameras online and decided to buy one.He made the purchase and the camera arrived in the mail the next week.When Harry opened the package, he found that the camera was damaged.
Choose a right ending of the Story: 1) Annoyed, he contacted the retailer to complain about the damage. 2) Harry spent the evening happily taking pictures.",1
110,"Story: Jasper has been avoiding getting a real job for months.He has hated all the previous office jobs that he had.One day he sees a job opening at his local butcher.He applies successfully for the job at the butcher.
Choose a right ending of the Story: 1) Jasper quits his job the next day. 2) Jasper enjoys cutting dead animals.",2
111,"Story: After  gathering all of the items for our party, I invited our friends.Most of the were excited to come over for food!It took about an hour but they all arrived on time.After the arrived we began eating and enjoying ourselves.
Choose a right ending of the Story: 1) I couldn't wait for my friends to leave. 2) I loved throwing parties.",2
112,"Story: Tom fond that he was no longer happy in his job.Tom decided that it was time to find a new job.Tom looked through the want ads and put in applications.Tom went on job interviews and talked to a lot of people.
Choose a right ending of the Story: 1) He finally received a job offer. 2) Tom was sad about leaving his miserable job.",1
113,"Story: Paul graduated from high school.He did not get accepted into college.His mom advised him to get a job.Paul agreed.
Choose a right ending of the Story: 1) Paul was furious with his mom. 2) Paul got a job.",2
114,"Story: Harvey's roommates teased him about being so thin.They were egotistical football players.They challenged Harvey to a ping pong game, expecting him to lose.But they did not know that Harvey was a nationally ranked player.
Choose a right ending of the Story: 1) Harvey choked, and lost every match he played. 2) They all sat with their mouths open as Harvey beat them all.",2
115,"Story: I think yesterday was when I realized I shouldn't be a mathematician.I was at the grocery store, restocking for next week.I had bought around twenty items, and thought I was under my budget.When I went to check out, I was ten dollars over!
Choose a right ending of the Story: 1) I then realized that I was not good at math. 2) Then I knew that I was great at math!",1
116,"Story: My family's red car broke down last year.Our family needed a 2 door car that had good gas mileage.We visited a few people who were selling cars.My parents searched multiple dealerships.
Choose a right ending of the Story: 1) They bought another red car. 2) My parents bought matching mopeds.",1
117,"Story: Gina's phone died as they drove on the highway.She plugged it in the front seat, but she was in the backseat.She was bored without her phone so she tried to reach it.She was on the end and it was too far.
Choose a right ending of the Story: 1) She acted like a brat and threw a tantrum. 2) Gina doesn't care about electronics.",1
118,"Story: I was just sitting on the porch enjoying my day.When out of the blue, a loud bang disturbed my peace.I jumped up in surprise.The door had slammed open.
Choose a right ending of the Story: 1) I realized I needed noise to sleep. 2) I realized it had only been the wind.",2
119,"Story: Gina's local library had no books on dolphins.She needed to find another library.The closest one was downtown.Her mother refused to take her.
Choose a right ending of the Story: 1) Gina and her mother went immediately. 2) Gina decided to walk instead.",2
